Updated;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Total_reported_weekly;Total_reported_per_100000_weekly;Hospital_admission_weekly;Hospital_admission_per_100000_weekly;Deceased_weekly;Deceased_per_100000_weekly
3-3-2020;123;257;40;89,6;0;0;119;253,3;40;89,6;0;0
10-3-2020;571;1165,8;213;455,3;5;9,9;564;1161,2;213;455,3;5;9,9
17-3-2020;2224;4840,9;985;2267,2;87;202,7;2101;4583,9;945;2177,6;87;202,7
24-3-2020;6812;14930,4;3519;8186,2;498;1151,2;6241;13764,6;3306;7730,9;493;1141,3
31-3-2020;13714;30160,4;6602;14935,1;1459;3468,3;11490;25319,5;5617;12667,9;1372;3265,6
7-4-2020;20761;45420,9;8560;19152,5;2638;6024,4;13949;30490,5;5041;10966,3;2140;4873,2
14-4-2020;28181;61166,8;9651;21272,5;3609;8044,1;14467;31006,4;3049;6337,4;2150;4575,8
21-4-2020;34605;74246,1;10268;22424,9;4454;9737,6;13844;28825,2;1708;3272,4;1816;3713,2
28-4-2020;38524;82104,8;10627;23110,5;5077;10879,6;10343;20938;976;1838;1468;2835,5
5-5-2020;40993;86663;10831;23441,9;5448;11544,9;6388;12416,9;563;1017;994;1807,3
12-5-2020;42704;89528,7;10981;23671,6;5716;11974,9;4180;7423,9;354;561,1;639;1095,3
19-5-2020;43924;91616,5;11058;23785,8;5859;12193,1;2931;4953,5;227;343,9;411;648,2
26-5-2020;45180;93888,1;11119;23874,5;5977;12339,9;2476;4359,4;138;202,9;261;365
2-6-2020;46219;95690,9;11168;23951,8;6049;12439,7;2295;4074,4;110;166;190;246,6
9-6-2020;47498;97734,2;11197;23988,3;6100;12510,9;2318;3846,1;78;113,8;123;171
16-6-2020;48589;99363,3;11214;24019,5;6132;12566;2370;3672,4;46;67,7;83;126,3
23-6-2020;49213;100262;11231;24038,7;6151;12595,1;1715;2527,8;34;50,4;51;84,2
30-6-2020;49732;101088,9;11241;24051,2;6164;12623,2;1143;1725,6;27;31,7;32;57,2
7-7-2020;50152;101701,5;11248;24059,7;6176;12649,6;939;1439,5;17;21;25;54,5
14-7-2020;50727;102422,5;11258;24073,6;6181;12666;995;1333,6;17;22,4;17;42,8
21-7-2020;51804;103934,1;11271;24091,1;6188;12677,4;1652;2232,6;23;31,4;12;27,8
28-7-2020;53176;105676,2;11304;24121,2;6199;12686,5;2449;3253,7;46;47,6;18;20,5
4-8-2020;55494;108079,2;11317;24130,2;6198;12684;3690;4145,1;46;39,1;10;6,6
11-8-2020;59474;112403,8;11358;24173,7;6206;12692,9;6298;6727,6;54;52,5;7;6,4
18-8-2020;62878;116448,3;11377;24180,4;6218;12694;7384;8369,1;60;50,2;20;10
25-8-2020;66276;120815,6;11430;24236,9;6245;12737,4;6802;8411,8;72;63,2;39;44,5
1-9-2020;70250;126130;11470;24268,2;6266;12769,4;7372;9681,7;93;87,8;48;75,4
8-9-2020;75982;133057,4;11531;24322,5;6282;12784,2;9706;12241,8;101;85,6;37;46,8
15-9-2020;85278;145351,1;11648;24453;6297;12809,2;15028;19221,1;178;184,8;31;39,8
22-9-2020;100359;166430,6;11869;24718,2;6362;12887,1;24377;33373,2;338;395,7;80;102,9
29-9-2020;121109;198959;12167;25134,2;6452;13051,3;35831;53607,9;519;681,2;155;242,1
6-10-2020;151833;251238,4;12608;25742,6;6608;13279,1;51474;84807,8;739;1024,4;246;392
13-10-2020;199437;336533,1;13114;26582,4;6782;13590,2;78328;137574,1;947;1448,2;330;538,9
20-10-2020;257229;441610,4;13722;27721,6;7084;14174,7;105396;190372;1114;1979;476;895,6
27-10-2020;325753;569586,6;14406;28804;7479;14915,9;126316;233053,5;1292;2221,6;697;1325,7
3-11-2020;383848;681189,2;15006;29794,6;7993;15945;126619;239578,8;1284;2073;909;1770,3
10-11-2020;423958;759028,6;15475;30544,2;8540;17058,9;98205;189442;1069;1740,2;1061;2143
17-11-2020;460212;828895,8;15936;31327,1;8947;17799,6;76364;147706,6;930;1532,5;954;1854,6
24-11-2020;496751;902258,5;16317;31933,4;9294;18452,1;72793;143229,9;842;1389,2;754;1393,2
1-12-2020;530288;969587,8;16648;32544,3;9627;19064,8;70076;140692;712;1217,2;680;1265,2
8-12-2020;576773;1068447,2;17075;33334,7;9923;19686,7;80022;166188,7;758;1401,3;629;1234,6
15-12-2020;623963;1169855,2;17208;33628;10109;20087,8;93675;200267,4;560;1083,7;482;1023
22-12-2020;705989;1349596,8;17752;34573,8;10571;21040,7;129216;281149,6;677;1239,1;648;1354
29-12-2020;754143;1457845,4;17923;34940;10888;21752;130180;287990,2;715;1312;779;1664,2
